delivery_id,factory_id,project_id,distance_km,expected_time_hours,actual_time_hours,delay_flag,date,project_lat,project_lon,demand,priority_level,factory_lat,factory_lon,base_production_per_week,production_variability,max_storage,weather_index,traffic_index,delay_hours,computed_distance,weather_distance,traffic_distance,priority_encoded,day_of_week,is_weekend,exposure,distance_bucket,day_of_month,risk_escalation,predicted_delay,priority_score
D1,F5,P88,705.19,17.63,30.59,1,2026-04-30,16.46634762885678,79.06109074551472,1,High,13.454599737656803,73.46723607882747,31,0.14,6,0.92,0.25,12.96,687.8535352331467,648.7748,176.2975,3,3,0,825.0723,Very Long,30,0.585,12.400450000000019,11238.754758854131
D2,F1,P103,419.81,10.5,17.68,1,2026-04-07,16.340321844439195,76.07051261471008,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.97,0.69,7.18,406.91155258091203,407.21569999999997,289.66889999999995,3,1,0,696.8845999999999,Medium,7,0.83,10.222599999999995,9227.648357495116
D3,F4,P21,463.88,11.6,19.17,1,2026-04-30,16.16667408020659,79.68937619479479,1,Low,12.451292632216802,77.77599017813459,49,0.08,6,0.92,0.25,7.570000000000002,461.69355018744545,426.7696,115.97,1,3,0,542.7396,Medium,30,0.585,7.391149999999999,2652.3934029770894
D4,F3,P51,471.41,11.79,20.6,1,2026-04-21,15.33207958296293,79.06624207135094,1,High,18.92940916619948,76.80892009394567,43,0.15,6,0.57,0.74,8.810000000000002,466.3851399010485,268.70369999999997,348.84340000000003,3,1,0,617.5471,Long,21,0.655,8.553949999999979,5658.031415531017
D5,F2,P51,420.17,10.5,16.77,1,2026-04-05,15.33207958296293,79.06624207135094,1,High,16.774801263571895,75.56666202282872,42,0.06,6,0.06,0.74,6.27,406.90274173176226,25.2102,310.9258,3,6,1,336.13599999999997,Medium,5,0.4,6.115599999999993,1566.6570610281544
D6,F2,P116,475.14,11.88,22.35,1,2026-04-23,16.578339753366706,79.84265266972837,1,Low,16.774801263571895,75.56666202282872,42,0.06,6,0.74,0.68,10.47,455.98482680654223,351.6036,323.09520000000003,1,3,0,674.6988,Long,23,0.71,10.11575000000002,4712.568936296858
D7,F4,P190,621.07,15.53,22.63,1,2026-04-19,16.49493353715019,73.90877487832272,1,Low,12.451292632216802,77.77599017813459,49,0.08,6,0.33,0.43,7.1,612.7326277486455,204.95310000000003,267.06010000000003,1,6,1,472.0132000000001,Long,19,0.38,6.468699999999995,1529.6728928874466
D8,F1,P22,454.76,11.37,15.33,1,2026-04-28,18.75627078942521,77.97856088109904,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.56,0.32,3.960000000000001,452.5044867028588,254.6656,145.5232,2,1,0,400.1888,Medium,28,0.44000000000000006,4.3470500000000065,1302.9442545416366
D9,F5,P132,635.2,15.88,32.96,1,2026-04-08,12.406148248315176,79.09293719160527,1,High,13.454599737656803,73.46723607882747,31,0.14,6,0.84,0.87,17.08,620.7116516788433,533.568,552.624,3,2,0,1086.192,Very Long,8,0.855,13.362800000000009,18663.980863501936
D10,F5,P130,396.23,9.91,13.88,1,2026-04-28,17.023155319589087,73.55419162809633,1,High,13.454599737656803,73.46723607882747,31,0.14,6,0.56,0.32,3.9700000000000006,396.9148822187082,221.88880000000003,126.79360000000001,3,1,0,348.68240000000003,Medium,28,0.44000000000000006,4.21645000000001,1379.7440151434414
D11,F1,P197,18.25,0.46,0.85,1,2026-04-04,14.839241523701766,79.65440708101166,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.97,1.0,0.38999999999999996,18.233184093068513,17.7025,18.25,3,5,1,35.9525,Short,4,0.985,0.3811000000000003,22.931525657028267
D12,F4,P61,660.05,16.5,27.73,1,2026-04-23,15.230689368464326,72.51913797687185,1,Low,12.451292632216802,77.77599017813459,49,0.08,6,0.74,0.68,11.23,646.1844042961128,488.43699999999995,448.834,1,3,0,937.271,Very Long,23,0.71,11.743070000000007,7581.0437898814625
D13,F3,P174,46.06,1.15,2.35,1,2026-04-02,18.56511580595164,77.00751736081259,1,Medium,18.92940916619948,76.80892009394567,43,0.15,6,0.95,0.78,1.2000000000000002,45.58671243085496,43.757,35.9268,2,3,0,79.68379999999999,Short,2,0.865,1.112449999999997,99.95249086629245
D14,F3,P61,628.72,15.72,26.66,1,2026-04-09,15.230689368464326,72.51913797687185,1,Low,18.92940916619948,76.80892009394567,43,0.15,6,0.84,0.43,10.94,613.9645166449504,528.1248,270.3496,1,3,0,798.4744000000001,Long,9,0.635,9.624699999999997,5145.981250999603
D15,F5,P178,406.45,10.16,13.33,1,2026-04-05,12.31170505848187,76.94603107470314,1,Medium,13.454599737656803,73.46723607882747,31,0.14,6,0.06,0.74,3.17,397.91601232245597,24.386999999999997,300.77299999999997,2,6,1,325.15999999999997,Medium,5,0.4,5.535299999999994,1097.748669963202
D16,F4,P125,874.73,21.87,36.01,1,2026-04-05,18.7893583593974,73.09297065153623,1,High,12.451292632216802,77.77599017813459,49,0.08,6,0.06,0.74,14.139999999999997,864.7884480980979,52.4838,647.3002,3,6,1,699.784,Very Long,5,0.4,12.130600000000015,6398.068887562962
D17,F2,P8,405.51,10.14,14.54,1,2026-04-01,15.603994015756344,72.10611968927893,1,Low,16.774801263571895,75.56666202282872,42,0.06,6,0.55,0.21,4.399999999999999,391.7861876168886,223.03050000000002,85.1571,1,2,0,308.18760000000003,Medium,1,0.38,4.305349999999987,722.7984432130146
D18,F5,P169,777.56,19.44,38.23,1,2026-04-21,16.92680931511931,79.55113283648606,1,Low,13.454599737656803,73.46723607882747,31,0.14,6,0.57,0.74,18.789999999999996,758.3585068720289,443.20919999999995,575.3943999999999,1,1,0,1018.6035999999999,Very Long,21,0.655,16.976649999999978,11066.796608617009
D19,F1,P97,417.55,10.44,16.19,1,2026-04-12,14.442910882755148,75.88491002868982,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.51,0.23,5.750000000000002,404.853715010401,212.9505,96.0365,3,6,1,308.987,Medium,12,0.37,5.243049999999999,1446.4741260105272
D20,F1,P129,879.0,21.98,27.76,1,2026-04-19,12.652753443201924,72.0414789021919,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.33,0.43,5.780000000000001,857.2086822772742,290.07,377.96999999999997,2,6,1,668.04,Very Long,19,0.38,8.393049999999981,3731.5450637132476
D21,F3,P187,282.61,7.07,13.77,1,2026-04-02,16.607396602064675,77.85318204239712,1,Medium,18.92940916619948,76.80892009394567,43,0.15,6,0.95,0.78,6.699999999999999,280.8742981304864,268.4795,220.43580000000003,2,3,0,488.9153,Short,2,0.865,7.666300000000012,3976.8212644341947
D22,F5,P99,146.91,3.67,5.55,1,2026-04-06,13.407402021418765,72.14460290892417,1,Low,13.454599737656803,73.46723607882747,31,0.14,6,0.55,0.71,1.88,143.14384561189868,80.8005,104.30609999999999,1,0,0,185.1066,Short,6,0.63,2.3679625,281.69368911105056
D23,F2,P166,484.93,12.12,19.52,1,2026-04-14,14.087148986733713,72.12243632232308,1,Low,16.774801263571895,75.56666202282872,42,0.06,6,0.88,0.24,7.4,474.9416672209675,426.7384,116.3832,1,1,0,543.1216000000001,Long,14,0.56,7.7062500000000185,2706.3190196523856
D24,F5,P31,780.71,19.52,32.67,1,2026-04-09,19.410407028106796,77.20861620401556,1,High,13.454599737656803,73.46723607882747,31,0.14,6,0.84,0.43,13.150000000000002,773.0598691712098,655.7964000000001,335.7053,3,3,0,991.5017,Very Long,9,0.635,13.936700000000025,15403.22679159705
D25,F4,P198,590.5,14.76,22.79,1,2026-04-29,17.414159235394425,75.86016759714114,1,High,12.451292632216802,77.77599017813459,49,0.08,6,0.04,0.92,8.03,588.9562025950372,23.62,543.26,3,2,0,566.88,Long,29,0.48000000000000004,8.171899999999983,3712.3306911098966
D26,F1,P48,534.63,13.37,21.55,1,2026-04-14,19.04374271212206,76.99483238507034,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.88,0.24,8.180000000000001,528.7418841641218,470.4744,128.31119999999999,3,1,0,598.7855999999999,Long,14,0.56,8.496950000000007,5480.006400126404
D27,F1,P143,225.45,5.64,10.63,1,2026-04-06,15.290831240453429,77.59609768613755,1,Low,14.9963209507789,79.60571445127933,30,0.17,6,0.55,0.71,4.990000000000001,218.1701480160398,123.9975,160.06949999999998,1,0,0,284.067,Short,6,0.63,4.609175000000003,832.3196604730075
D28,F1,P166,836.75,20.92,32.44,1,2026-04-01,14.087148986733713,72.12243632232308,1,Low,14.9963209507789,79.60571445127933,30,0.17,6,0.55,0.21,11.519999999999996,811.7198910242375,460.21250000000003,175.7175,1,2,0,635.9300000000001,Very Long,1,0.38,11.540099999999995,3961.073915048272
D29,F2,P6,343.61,8.59,12.12,1,2026-04-20,19.865847086454306,75.73410314598384,1,Medium,16.774801263571895,75.56666202282872,42,0.06,6,0.25,0.41,3.5299999999999994,344.16262498611525,85.9025,140.8801,2,0,0,226.7826,Medium,20,0.32999999999999996,3.5692999999999904,513.6369778066339
D30,F3,P11,648.45,16.21,24.07,1,2026-04-10,13.847150604977193,73.92820372820809,1,High,18.92940916619948,76.80892009394567,43,0.15,6,0.22,0.4,7.859999999999999,643.2107953584697,142.65900000000002,259.38000000000005,3,4,0,402.0390000000001,Very Long,10,0.31,6.68019999999999,2052.0386814549524
D31,F5,P99,146.91,3.67,6.61,1,2026-04-03,13.407402021418765,72.14460290892417,1,Low,13.454599737656803,73.46723607882747,31,0.14,6,0.11,0.93,2.9400000000000004,143.14384561189868,16.1601,136.62630000000001,1,4,0,152.78640000000001,Short,3,0.52,2.60435,209.57055412241618
D32,F3,P96,297.4,7.44,12.93,1,2026-04-21,19.789310694042538,74.27136779789973,1,High,18.92940916619948,76.80892009394567,43,0.15,6,0.57,0.74,5.489999999999999,282.8544298765783,169.51799999999997,220.076,3,1,0,389.59399999999994,Short,21,0.655,5.17605,2172.5847179355333
D33,F3,P89,666.18,16.65,30.8,1,2026-04-07,13.509656866731037,74.23097082073745,1,High,18.92940916619948,76.80892009394567,43,0.15,6,0.97,0.69,14.150000000000002,662.475700085675,646.1945999999999,459.66419999999994,3,1,0,1105.8588,Very Long,7,0.83,14.591366666666701,20834.965633537835
D34,F2,P154,72.89,1.82,2.87,1,2026-04-03,17.106164750746803,76.13357005941253,1,Medium,16.774801263571895,75.56666202282872,42,0.06,6,0.11,0.93,1.05,70.66778954749574,8.017900000000001,67.7877,2,4,0,75.8056,Short,3,0.52,1.1702500000000022,65.1022082710299
D35,F1,P22,454.76,11.37,17.48,1,2026-04-19,18.75627078942521,77.97856088109904,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.33,0.43,6.110000000000001,452.5044867028588,150.0708,195.5468,2,6,1,345.6176,Medium,19,0.38,5.595450000000008,1298.4949076396915
D36,F4,P70,742.25,18.56,33.5,1,2026-04-13,16.741573791035147,72.64682661066172,1,High,12.451292632216802,77.77599017813459,49,0.08,6,0.58,0.86,14.940000000000001,729.4007739831497,430.505,638.335,3,0,0,1068.8400000000001,Very Long,13,0.72,14.616000000000033,17451.941893765783
D37,F2,P136,488.6,12.21,23.49,1,2026-04-15,19.854727106484248,78.7114680165549,1,High,16.774801263571895,75.56666202282872,42,0.06,6,0.91,0.59,11.279999999999998,476.9226286243878,444.62600000000003,288.274,3,2,0,732.9000000000001,Long,15,0.75,10.819250000000016,9652.663160034399
D38,F4,P96,902.65,22.57,31.71,1,2026-04-18,19.789310694042538,74.27136779789973,1,High,12.451292632216802,77.77599017813459,49,0.08,6,0.71,0.25,9.14,897.6010229137179,640.8815,225.6625,3,5,1,866.544,Very Long,18,0.48,10.42935000000003,8940.97246080967
D39,F1,P172,429.53,10.74,20.32,1,2026-04-02,17.417346739063852,76.58693633337546,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.95,0.78,9.58,419.93959652423894,408.05349999999993,335.0334,3,3,0,743.0868999999999,Medium,2,0.865,9.754049999999985,9574.130786955133
