delivery_id,factory_id,project_id,distance_km,expected_time_hours,actual_time_hours,delay_flag,date,project_lat,project_lon,demand,priority_level,factory_lat,factory_lon,base_production_per_week,production_variability,max_storage,weather_index,traffic_index,delay_hours,computed_distance,weather_distance,traffic_distance,priority_encoded,day_of_week,is_weekend
D1,F5,P88,705.19,17.63,30.59,1,2026-04-30,16.46634762885678,79.06109074551472,1,High,13.454599737656803,73.46723607882747,31,0.14,6,0.92,0.25,12.96,687.8535352331467,648.7748,176.2975,3,3,0
D2,F1,P103,419.81,10.5,17.68,1,2026-04-07,16.340321844439195,76.07051261471008,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.97,0.69,7.18,406.91155258091203,407.21569999999997,289.66889999999995,3,1,0
D3,F4,P21,463.88,11.6,19.17,1,2026-04-30,16.16667408020659,79.68937619479479,1,Low,12.451292632216802,77.77599017813459,49,0.08,6,0.92,0.25,7.570000000000002,461.69355018744545,426.7696,115.97,1,3,0
D4,F3,P51,471.41,11.79,20.6,1,2026-04-21,15.33207958296293,79.06624207135094,1,High,18.92940916619948,76.80892009394567,43,0.15,6,0.57,0.74,8.810000000000002,466.3851399010485,268.70369999999997,348.84340000000003,3,1,0
D5,F2,P51,420.17,10.5,16.77,1,2026-04-05,15.33207958296293,79.06624207135094,1,High,16.774801263571895,75.56666202282872,42,0.06,6,0.06,0.74,6.27,406.90274173176226,25.2102,310.9258,3,6,1
D6,F2,P116,475.14,11.88,22.35,1,2026-04-23,16.578339753366706,79.84265266972837,1,Low,16.774801263571895,75.56666202282872,42,0.06,6,0.74,0.68,10.47,455.98482680654223,351.6036,323.09520000000003,1,3,0
D7,F4,P190,621.07,15.53,22.63,1,2026-04-19,16.49493353715019,73.90877487832272,1,Low,12.451292632216802,77.77599017813459,49,0.08,6,0.33,0.43,7.1,612.7326277486455,204.95310000000003,267.06010000000003,1,6,1
D8,F1,P22,454.76,11.37,15.33,1,2026-04-28,18.75627078942521,77.97856088109904,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.56,0.32,3.960000000000001,452.5044867028588,254.6656,145.5232,2,1,0
D9,F5,P132,635.2,15.88,32.96,1,2026-04-08,12.406148248315176,79.09293719160527,1,High,13.454599737656803,73.46723607882747,31,0.14,6,0.84,0.87,17.08,620.7116516788433,533.568,552.624,3,2,0
D10,F5,P130,396.23,9.91,13.88,1,2026-04-28,17.023155319589087,73.55419162809633,1,High,13.454599737656803,73.46723607882747,31,0.14,6,0.56,0.32,3.9700000000000006,396.9148822187082,221.88880000000003,126.79360000000001,3,1,0
D11,F1,P197,18.25,0.46,0.85,1,2026-04-04,14.839241523701766,79.65440708101166,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.97,1.0,0.38999999999999996,18.233184093068513,17.7025,18.25,3,5,1
D12,F4,P61,660.05,16.5,27.73,1,2026-04-23,15.230689368464326,72.51913797687185,1,Low,12.451292632216802,77.77599017813459,49,0.08,6,0.74,0.68,11.23,646.1844042961128,488.43699999999995,448.834,1,3,0
D13,F3,P174,46.06,1.15,2.35,1,2026-04-02,18.56511580595164,77.00751736081259,1,Medium,18.92940916619948,76.80892009394567,43,0.15,6,0.95,0.78,1.2000000000000002,45.58671243085496,43.757,35.9268,2,3,0
D14,F3,P61,628.72,15.72,26.66,1,2026-04-09,15.230689368464326,72.51913797687185,1,Low,18.92940916619948,76.80892009394567,43,0.15,6,0.84,0.43,10.94,613.9645166449504,528.1248,270.3496,1,3,0
D15,F5,P178,406.45,10.16,13.33,1,2026-04-05,12.31170505848187,76.94603107470314,1,Medium,13.454599737656803,73.46723607882747,31,0.14,6,0.06,0.74,3.17,397.91601232245597,24.386999999999997,300.77299999999997,2,6,1
D16,F4,P125,874.73,21.87,36.01,1,2026-04-05,18.7893583593974,73.09297065153623,1,High,12.451292632216802,77.77599017813459,49,0.08,6,0.06,0.74,14.139999999999997,864.7884480980979,52.4838,647.3002,3,6,1
D17,F2,P8,405.51,10.14,14.54,1,2026-04-01,15.603994015756344,72.10611968927893,1,Low,16.774801263571895,75.56666202282872,42,0.06,6,0.55,0.21,4.399999999999999,391.7861876168886,223.03050000000002,85.1571,1,2,0
D18,F5,P169,777.56,19.44,38.23,1,2026-04-21,16.92680931511931,79.55113283648606,1,Low,13.454599737656803,73.46723607882747,31,0.14,6,0.57,0.74,18.789999999999996,758.3585068720289,443.20919999999995,575.3943999999999,1,1,0
D19,F1,P97,417.55,10.44,16.19,1,2026-04-12,14.442910882755148,75.88491002868982,1,High,14.9963209507789,79.60571445127933,30,0.17,6,0.51,0.23,5.750000000000002,404.853715010401,212.9505,96.0365,3,6,1
D20,F1,P129,879.0,21.98,27.76,1,2026-04-19,12.652753443201924,72.0414789021919,1,Medium,14.9963209507789,79.60571445127933,30,0.17,6,0.33,0.43,5.780000000000001,857.2086822772742,290.07,377.96999999999997,2,6,1
